persona_id_pk;persona_nombre;persona_apaterno;persona_amaterno;persona_ci;persona_expedicion;persona_telefono;persona_institucion
1;Pequeño Monitorizado Analista;direccional Granito;Futuro;37640;Berkshire transmit;synergistic;backing
2;users Croacia;Sorprendente;FTP Amarillo;65660;input global channels;Acero;Inteligente Account Salud
3;withdrawal Ferrocarril;Granito generating implementación;Consultor capacidad;64331;Savings;Salud;optical
4;Borders;Seguro neural Montserrat;AI firewall;70800;disintermediate;array Moldovan;Account
5;Metal Sección cero;interface Perseverando;whiteboard;99312;auxiliary visionary;de;Práctico RSS Extremadura
6;AGP payment;Agente;trabajo innovative New;369;technologies redundant;Bacon Puerta Tácticas;Salchichas SMS
7;synthesize Salvador;HDD Sorprendente Bebes;compelling Metal partnerships;12560;Zapatos interfaces Región;Borders mobile;port
8;1080p Fantástico Account;data-warehouse en;schemas Cine;79216;Account Distrito;Cine Honduras;index Market
9;contenido HDD Guadalupe;harness utilize incremental;e-tailers;69436;technologies JBOD;Acero XSS firewall;Principado Operaciones Ergonómico
10;Ergonómico SAS;Aragón capacitor Visionario;Blanco Algodón;48823;Account Canarias SQL;array dynamic Mobilidad;index Sabroso
